ControlAreaUnitId,ControlArea,RemoteUnit,StationId,LineName
1,A002,R051,120,NR456
2,A006,R079,123,NR
3,A007,R079,123,NR
4,A010,R080,118,NR
5,A011,R080,118,NR
6,A013,R081,107,NR
7,A014,R081,107,NR
8,A015,R081,107,NR
9,A016,R081,107,NR
10,A021,R032,432,1239
11,A022,R022,91,NR
12,A025,R023,91,NR
13,A027,R082,81,NR
14,A029,R082,81,NR
15,A030,R083,71,NR
16,A031,R083,71,NR
17,A033,R170,29,RNL456
18,A034,R170,28,RNL456
19,A035,R170,28,RNL456
20,A037,R170,28,RNL456
21,A038,R085,147,NR
22,A039,R085,147,NR
23,A041,R086,401,NR
24,A042,R086,401,NR
25,A043,R462,228,NR
26,A046,R463,228,JMNR6
27,A047,R087,218,NR
28,A050,R088,256,NR
29,A054,R227,408,NR
30,A055,R227,408,NR
31,A058,R001,448,NR
32,A060,R001,448,NR
33,A061,R142,267,JMZ
34,A064,R311,212,JM
35,A066,R118,228,JMNZ
36,A069,R044,223,JMZ456
37,A071,R044,240,JMZ456
38,A077,R002,299,JMZ2345
39,A081,R002,299,JMZ2345
40,A082,R002,299,JMZ2345
41,A083,R125,217,JZM
42,A084,R125,217,JZM
43,A085,R125,217,JZM
44,B004,R171,132,F
45,B009,R411,391,A
46,B010,R412,211,A
47,B012,R196,404,DQ
48,B013,R196,404,DQ
49,B014,R148,394,D
50,B015,R098,245,DQ
51,B016,R098,245,DQ
52,B017,R262,158,D
53,B018,R184,255,D
54,B019,R149,382,DQ
55,B020,R263,175,D
56,B021,R228,177,D
57,B022,R229,178,D
58,B023,R211,341,DQ
59,B024,R211,341,DQ
60,B024A,R211,341,DQ
61,B025,R150,181,D
62,B026,R230,375,D
63,B027,R136,417,DQ
64,B028,R136,417,DQ
65,B029,R172,215,DQ
66,B031,R172,215,DQ
67,B032,R264,389,D
68,B034,R264,389,D
69,C001,R108,209,2345MNR
70,C003,R089,335,NRM
71,C004,R089,335,NRM
72,C008,R099,265,NR
73,C009,R057,174,2345DQ
74,C010,R231,434,MNR
75,C011,R231,434,MNR
76,C012,R258,99,MNRF
77,C014,R246,402,MNR
78,C015,R454,402,MNR
79,C016,R278,80,MNR
80,C017,R455,80,MNR
81,C018,R197,95,BMNR
82,C019,R232,103,NR
83,C020,R233,115,NR
84,C021,R212,119,NR
85,C022,R212,119,NR
86,C023,R213,190,R
87,C024,R214,141,R
88,C025,R215,152,R
89,C026,R215,152,R
90,C027,R216,160,R
91,C028,R216,160,R
92,D002,R390,145,N
93,D003,R391,291,N
94,D004,R391,291,N
95,D005,R398,381,N
96,D006,R398,381,N
97,D008,R392,52,N
98,D009,R393,63,N
99,D010,R394,187,N
100,D011,R394,187,N
101,D012,R395,342,N
102,D015,R396,181,N
103,D016,R397,152,N
104,E001,R368,158,BM
105,E003,R369,291,BM
106,E004,R234,110,BM
107,E005,R247,116,BM
108,E009,R370,135,BM
109,E011,R371,143,BM
110,E012,R372,52,BM
111,E013,R373,63,BM
112,E014,R374,187,BM
113,E015,R399,79,B
114,E016,R400,186,B
115,G001,R151,254,BDFN
116,G009,R151,254,BDFN
117,G011,R312,445,D
118,G015,R312,445,D
119,H001,R175,145,AEC
120,H003,R163,25,B
121,H005,R330,84,L
122,H006,R330,84,L
123,H007,R248,1,L
124,H008,R248,1,L
125,H009,R235,200,L
126,H012,R268,357,G
127,H013,R249,305,L
128,H014,R249,305,L
129,H015,R250,311,L
130,H016,R250,311,L
131,H017,R265,365,L
132,H019,R294,366,L
133,H022,R279,337,L
134,H023,R236,265,L
135,H026,R137,371,LM
136,H027,R137,371,LM
137,H028,R266,317,L
138,H030,R266,317,L
139,H032,R295,450,L
140,H033,R313,227,L
141,H035,R348,171,L
142,H037,R349,429,L
143,H038,R350,355,L
144,H039,R375,379,L
145,H040,R376,275,L
146,H041,R152,233,1
147,J001,R460,360,JMZ
148,J002,R460,360,JMZ
149,J003,R352,320,JM
150,J005,R353,357,J
151,J007,R377,284,JM
152,J009,R378,371,JMZ
153,J012,R379,349,J
154,J013,R380,304,J
155,J016,R381,317,J
156,J017,R432,243,J
157,J020,R433,164,JZ
158,J021,R434,437,JZ
159,J022,R435,251,J
160,J023,R436,385,JZ
161,J024,R437,261,JZ
162,J025,R003,264,JZ
163,J028,R004,140,JZ
164,J030,R005,151,JZ
165,J031,R006,452,JZ
166,J032,R006,452,JZ
167,J034,R007,6,JZ
168,J035,R008,9,JZ
169,J037,R009,16,JZ
170,JFK01,R535,323,A
171,JFK02,R535,323,A
172,JFK03,R536,332,E
173,K017,R401,238,M
174,K019,R413,348,M
175,K022,R402,416,M
176,K024,R403,289,M
177,K025,R404,298,M
178,K026,R100,363,M
179,N001,R173,329,A
180,N002A,R173,329,A
181,N003,R185,270,A
182,N006A,R280,60,A
183,N007A,R174,56,A
184,N009,R174,56,A
185,N010,R126,50,NR
186,N011,R126,50,NR
187,N012,R035,44,AB19
188,N013,R035,43,AB19
189,N016A,R296,40,AC
190,N017,R331,35,AC
191,N019,R101,30,ABCD
192,N020,R101,30,ABCD
193,N022,R332,21,BC
194,N023,R332,21,BC
195,N024,R332,21,BC
196,N025,R102,17,ACBD
197,N026,R102,17,ACBD
198,N029,R333,12,BC
199,N030,R333,12,BC
200,N034,R334,236,BC
201,N035,R334,236,BC
202,N037,R314,2,BC
203,N039,R251,161,BC
204,N040,R251,161,BC
205,N043,R186,154,BC
206,N044,R187,149,BC
207,N045,R187,149,BC
208,N046,R281,136,BC
209,N049,R084,122,19ABCD
210,N051,R084,121,ABCD19
211,N056,R188,111,CE
212,N057,R188,111,CE
213,N060,R010,102,ACE
214,N062,R011,102,ACE
215,N062A,R010,102,ACE
216,N063,R011,102,ACE
217,N063A,R011,102,ACE
218,N067,R012,92,ACE
219,N068,R012,92,ACE
220,N069,R013,92,ACE
221,N070,R012,92,ACE
222,N071,R013,92,ACE
223,N072,R012,92,ACE
224,N073,R013,92,ACE
225,N075,R111,72,CE
226,N076,R111,72,CE
227,N077,R111,72,CE
228,N078,R175,26,AEC
229,N080,R138,441,ABCDEFQ
230,N083,R138,441,ABCDEFQ
231,N086,R282,422,CE
232,N087,R282,422,CE
233,N089,R139,230,ACE
234,N090,R139,230,ACE
235,N091,R029,241,ACE
236,N092,R029,241,ACE
237,N094,R029,456,ACE
238,N095,R014,300,AC
239,N100,R252,321,AC
240,N101,R252,321,AC
241,N102,R127,336,ACF
242,N103,R127,336,ACF
243,N108,R217,325,ACG
244,N110,R283,350,AC
245,N111,R284,253,AC
246,N112A,R284,253,AC
247,N113,R297,294,AC
248,N114,R297,294,AC
249,N116,R198,387,AC
250,N117,R198,387,AC
251,N118,R199,347,C
252,N119,R199,347,C
253,N120,R153,435,A
254,N120A,R153,435,A
255,N121B,R438,407,AC
256,N122,R439,410,AC
257,N123B,R439,410,AC
258,N124,R103,220,AC
259,N125,R440,354,AC
260,N126,R441,438,AC
261,N127,R442,418,AC
