StationId,StationName,Line,Division,Latitude,Longitude
1,1 Av,Canarsie,BMT,40.730953,-73.981628
2,103 St,8th Avenue,IND,40.796092,-73.961454
3,103 St,7th Ave-Bway,IRT,40.799446,-73.968379
4,103 St,Lexington,IRT,40.7906,-73.947478
5,103 St - Corona Plaza,Flushing,IRT,40.749865,-73.8627
6,104 St,Jamaica,BMT,40.695178,-73.84433
7,104 St,Liberty Avenue,IND,40.681711,-73.837683
8,110 St,Lexington,IRT,40.79502,-73.94425
9,111 St,Jamaica,BMT,40.697418,-73.836345
10,111 St,Liberty Avenue,IND,40.684331,-73.832163
11,111 St,Flushing,IRT,40.75173,-73.855334
12,116 St,8th Avenue,IND,40.805085,-73.954882
13,116 St,Lenox,IRT,40.802098,-73.949625
14,116 St,Lexington,IRT,40.798629,-73.941617
15,116 St - Columbia University,7th Ave-Bway,IRT,40.807722,-73.96411
16,121 St,Jamaica,BMT,40.700492,-73.828294
17,125 St,8th Avenue,IND,40.811109,-73.952343
18,125 St,7th Ave-Bway,IRT,40.815581,-73.958372
19,125 St,Lenox,IRT,40.807754,-73.945495
20,125 St,Lexington,IRT,40.804138,-73.937594
21,135 St,8th Avenue,IND,40.817894,-73.947649
22,135 St,Lenox,IRT,40.814229,-73.94077
23,137 St - City College,7th Ave-Bway,IRT,40.822008,-73.953676
24,138 St - Grand Concourse,Jerome,IRT,40.813224,-73.929849
25,14 St,6th Avenue,IND,40.738228,-73.996209
26,14 St,8th Avenue,IND,40.740893,-74.00169
27,14 St,7th Ave-Bway,IRT,40.737826,-74.000201
28,14 St - Union Sq,Broadway,BMT,40.734673,-73.989951
29,14 St - Union Sq,Lexington,IRT,40.735736,-73.990568
30,145 St,8th Avenue,IND,40.824783,-73.944216
31,145 St,7th Ave-Bway,IRT,40.826551,-73.95036
32,145 St,Lenox,IRT,40.820421,-73.936245
33,149 St - Grand Concourse,Jerome,IRT,40.818375,-73.927351
34,15 St - Prospect Park,Prospect Park,IND,40.660365,-73.979493
35,155 St,8th Avenue,IND,40.830518,-73.941514
36,155 St,Concourse,IND,40.830135,-73.938209
37,157 St,7th Ave-Bway,IRT,40.834041,-73.94489
38,161 St - Yankee Stadium,Concourse,IND,40.827994,-73.925831
39,161 St - Yankee Stadium,Jerome,IRT,40.827994,-73.925831
40,163 St - Amsterdam Av,8th Avenue,IND,40.836013,-73.939892
41,167 St,Concourse,IND,40.833771,-73.91844
42,167 St,Jerome,IRT,40.835537,-73.9214
43,168 St,8th Avenue,IND,40.840719,-73.939561
44,168 St,7th Ave-Bway,IRT,40.840719,-73.939561
45,169 St,Queens,IND,40.71047,-73.793604
46,170 St,Concourse,IND,40.839306,-73.9134
47,170 St,Jerome,IRT,40.840075,-73.917791
48,174 St,White Plains,IRT,40.837288,-73.887734
49,174 - 175 Sts,Concourse,IND,40.8459,-73.910136
50,175 St,8th Avenue,IND,40.847391,-73.939704
51,176 St,Jerome,IRT,40.84848,-73.911794
52,18 Av,Sea Beach,BMT,40.620671,-73.990414
53,18 Av,West End,BMT,40.607954,-74.001736
54,18 Av,Culver,IND,40.629755,-73.976971
55,18 St,7th Ave-Bway,IRT,40.74104,-73.997871
56,181 St,8th Avenue,IND,40.851695,-73.937969
57,181 St,7th Ave-Bway,IRT,40.849505,-73.933596
58,182 - 183 Sts,Concourse,IND,40.856093,-73.900741
59,183 St,Jerome,IRT,40.858407,-73.903879
60,190 St,8th Avenue,IND,40.859022,-73.93418
61,191 St,7th Ave-Bway,IRT,40.855225,-73.929412
62,2 Av,6th Avenue,IND,40.723402,-73.989938
63,20 Av,Sea Beach,BMT,40.61741,-73.985026
64,20 Av,West End,BMT,40.604556,-73.998168
65,207 St,7th Ave-Bway,IRT,40.864621,-73.918822
66,21 St,Crosstown,IND,40.744065,-73.949724
67,21 St - Queensbridge,63rd Street,IND,40.754203,-73.942836
68,215 St,7th Ave-Bway,IRT,40.869444,-73.915279
69,219 St,White Plains,IRT,40.883895,-73.862633
70,225 St,White Plains,IRT,40.888022,-73.860341
71,23 St,Broadway,BMT,40.741303,-73.989344
72,23 St,6th Avenue,IND,40.742878,-73.992821
73,23 St,8th Avenue,IND,40.745906,-73.998041
74,23 St,7th Ave-Bway,IRT,40.744081,-73.995657
75,23 St,Lexington,IRT,40.739864,-73.986599
76,231 St,7th Ave-Bway,IRT,40.878856,-73.904834
77,233 St,White Plains,IRT,40.893193,-73.857473
78,238 St,7th Ave-Bway,IRT,40.884667,-73.90087
79,25 Av,West End,BMT,40.597704,-73.986829
80,25 St,4th Avenue,BMT,40.660397,-73.998091
81,28 St,Broadway,BMT,40.745494,-73.988691
82,28 St,7th Ave-Bway,IRT,40.747215,-73.993365
83,28 St,Lexington,IRT,40.74307,-73.984264
84,3 Av,Canarsie,BMT,40.732849,-73.986122
85,3 Av - 138 St,Pelham,IRT,40.810476,-73.926138
86,3 Av - 149 St,White Plains,IRT,40.816109,-73.917757
87,30 Av,Astoria,BMT,40.766779,-73.921479
88,33 St,Lexington,IRT,40.746081,-73.982076
89,33 St - Rawson St,Flushing,IRT,40.744587,-73.930997
90,34 St - Herald Sq,Broadway,BMT,40.749719,-73.987823
91,34 St - Herald Sq,6th Avenue,IND,40.749567,-73.98795
92,34 St - Penn Station,8th Avenue,IND,40.752287,-73.993391
93,34 St - Penn Station,7th Ave-Bway,IRT,40.750373,-73.991057
94,36 Av,Astoria,BMT,40.756804,-73.929575
95,36 St,4th Avenue,BMT,40.655144,-74.003549
96,36 St,Queens,IND,40.752039,-73.928781
97,39 Av,Astoria,BMT,40.752882,-73.932755
98,4 Av - 9 St,4th Avenue,BMT,40.670272,-73.989779
99,4 Av - 9 St,Prospect Park,IND,40.670272,-73.989779
100,40 St - Lowery St,Flushing,IRT,40.743781,-73.924016
101,42 St - Bryant Pk,6th Avenue,IND,40.754222,-73.984569
102,42 St - Port Authority Bus Terminal,8th Avenue,IND,40.757308,-73.989735
103,45 St,4th Avenue,BMT,40.648939,-74.010006
104,46 St,Queens,IND,40.756312,-73.913333
